,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse,test_mae,test_acc,likely_rmse,likely_mae,likely_acc,likely_range
105,AutoencoderMLP_seq_true_ver_10,AutoencoderMLP,10,True,9.86,6.84,1.0,11.46,7.99,1.0399999618530273,17.15,13.89,1.25,28.24,20.37,1.5399999618530273,365
106,AutoencoderMLP_seq_true_ver_11,AutoencoderMLP,11,True,12.81,8.71,1.02,12.79,8.69,1.02,16.32,12.08,1.2799999713897705,7.25,5.04,1.059999942779541,365
107,AutoencoderMLP_seq_true_ver_12,AutoencoderMLP,12,True,13.24,8.62,1.01,13.15,8.56,1.0,13.61,10.79,1.2000000476837158,10.28,7.14,1.190000057220459,365
108,AutoencoderRandomDropoutMLP_seq_true_ver_1,AutoencoderRandomDropoutMLP,1,True,4.52,2.9,1.0,22.48,16.46,1.1,18.84,13.93,0.86,14.08,10.67,1.17,365
109,AutoencoderRandomDropoutMLP_seq_true_ver_2,AutoencoderRandomDropoutMLP,2,True,2.15,1.62,1.0499999523162842,19.0,13.02,1.1699999570846558,11.41,9.21,1.0199999809265137,21.5,18.18,1.2899999618530273,365
110,AutoencoderRandomDropoutMLP_seq_true_ver_3,AutoencoderRandomDropoutMLP,3,True,2.69,2.03,1.02,17.51,11.25,0.9900000095367432,15.93,11.72,1.15,6.96,5.01,0.99,365
111,AutoencoderRandomDropoutMLP_seq_true_ver_4,AutoencoderRandomDropoutMLP,4,True,2.73,1.89,1.06,2.58,1.87,1.05,15.12,11.47,1.24,5.88,4.53,1.12,365
112,AutoencoderRandomDropoutMLP_seq_true_ver_5,AutoencoderRandomDropoutMLP,5,True,10.0,6.93,0.9200000166893005,16.45,11.47,0.8600000143051147,24.45,18.99,0.46000000834465027,15.05,10.72,0.9100000262260437,365
113,AutoencoderRandomDropoutMLP_seq_true_ver_6,AutoencoderRandomDropoutMLP,6,True,10.99,7.38,0.95,15.98,11.39,0.99,21.48,15.82,0.57,15.2,11.78,1.09,365
114,AutoencoderRandomDropoutMLP_seq_true_ver_7,AutoencoderRandomDropoutMLP,7,True,3.45,2.39,0.98,5.0,3.29,0.98,12.58,9.12,1.16,4.87,3.46,0.97,365
115,AutoencoderRandomDropoutMLP_seq_true_ver_8,AutoencoderRandomDropoutMLP,8,True,10.09,7.1,1.02,9.4,6.74,1.01,13.53,11.01,1.23,7.66,5.61,1.11,365
116,AutoencoderRandomDropoutMLP_seq_true_ver_9,AutoencoderRandomDropoutMLP,9,True,11.81,7.96,1.01,24.26,18.15,1.05,20.21,16.21,0.91,15.56,12.3,1.13,365
117,AutoencoderRandomDropoutMLP_seq_true_ver_10,AutoencoderRandomDropoutMLP,10,True,9.43,6.43,1.0,23.21,16.66,1.1799999475479126,11.55,9.42,1.03,17.97,14.64,1.26,365
