,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse_60,test_mae_60,test_acc_60,test_rmse_30,test_mae_30,test_acc_30,test_rmse_7,test_mae_7,test_acc_7,n_parameters
60,MultiCNN_seq_true_ver_5,MultiCNN,5,True,12.55,8.85,0.92,17.96,14.35,1.01,27.25,20.53,0.43,33.35,29.67,0.34,41.13,39.01,0.33,90691
61,MultiCNN_seq_true_ver_6,MultiCNN,6,True,11.16,7.33,0.9,20.01,15.03,0.99,17.82,13.42,0.87,20.08,16.24,0.66,36.85,33.54,0.42,170691
62,MultiCNN_seq_true_ver_7,MultiCNN,7,True,3.53,2.54,0.94,4.37,3.21,0.99,12.44,9.21,0.89,16.05,12.22,0.81,26.94,25.76,0.56,370691
63,MultiCNN_seq_true_ver_8,MultiCNN,8,True,9.53,6.56,1.01,9.73,6.99,1.09,13.32,10.42,1.04,16.21,12.07,0.89,27.43,25.92,0.56,570691
64,MultiCNN_seq_true_ver_9,MultiCNN,9,True,12.63,9.5,1.04,20.6,16.25,1.32,16.01,11.94,0.81,21.41,17.49,0.62,32.35,29.63,0.49,92695
65,MultiCNN_seq_true_ver_10,MultiCNN,10,True,10.06,7.04,0.99,18.59,13.43,1.2,19.62,14.92,0.89,16.82,12.88,0.75,31.62,28.09,0.52,172695
66,MultiCNN_seq_true_ver_11,MultiCNN,11,True,11.82,7.99,0.99,15.45,10.91,1.06,11.34,9.13,0.95,14.12,11.53,0.9,23.09,20.72,0.65,372695
67,MultiCNN_seq_true_ver_12,MultiCNN,12,True,12.22,7.82,1.0,11.53,7.61,1.03,12.59,9.67,0.94,15.36,10.93,0.89,26.59,23.43,0.6,572695
68,BidirectionalLSTM_seq_true_ver_1,BidirectionalLSTM,1,True,6.66,4.75,0.98,16.11,11.5,0.97,29.87,26.27,1.17,31.18,27.27,0.4,15.94,14.01,1.03,784601
69,BidirectionalLSTM_seq_true_ver_2,BidirectionalLSTM,2,True,6.6,4.77,1.02,23.33,19.35,1.8,15.87,12.63,1.21,31.3,27.26,0.4,14.41,12.57,1.05,784601
70,BidirectionalLSTM_seq_true_ver_3,BidirectionalLSTM,3,True,7.42,5.45,1.04,61.08,49.98,3.07,18.52,13.14,1.09,19.69,14.09,1.06,20.6,16.71,1.16,784601
71,BidirectionalLSTM_seq_true_ver_4,BidirectionalLSTM,4,True,8.78,6.09,0.98,25.54,20.44,1.53,20.31,16.8,1.34,15.99,12.14,0.79,16.3,13.56,0.86,784601
72,BidirectionalLSTM_seq_true_ver_5,BidirectionalLSTM,5,True,7.79,5.6,1.0,21.05,16.58,1.32,24.88,21.74,1.32,23.15,19.34,0.57,18.59,16.64,1.09,785203
73,BidirectionalLSTM_seq_true_ver_6,BidirectionalLSTM,6,True,7.74,5.5,1.02,23.32,20.6,1.82,16.05,12.96,1.11,19.69,15.83,0.67,17.44,15.51,0.79,785203
74,BidirectionalLSTM_seq_true_ver_7,BidirectionalLSTM,7,True,7.36,5.34,0.98,35.04,22.69,0.97,32.94,27.62,0.98,17.73,12.8,1.02,17.28,13.87,1.13,785203
